Exercise ID,Description FR,Description EN,Catégorie,Category,Name FR (niveau 1),Name EN (niveau 1),Name FR ( niveau 2),Name EN (niveau 2),Name FR niveau 3),Name EN (niveau 3),Movement duration,Repeat,Pause,Description Espagnol,Description Italien,Description Allemand
51,"Faites un ""CHH"" et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of movement  in the eyebrow. Refer to the healthy side.",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies du sourcil,Eyebrow synkinesis,,,12,4,10,"Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
51,"Faites un ""CHH"" et sentez l’ABSENCE d'étirement dans la joue. Référez-vous au côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of stretching in the cheek. Refer to the healthy side.",Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,"Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite."
52,Parlez doucement et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.,Talk slowly and feel the absence of movement around the eye. Refer to the healthy eye.,Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
52,Parlez doucement et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.,Talk slowly and feel the absence of movement in the eyebrow. Refer to the healthy side.,Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
52,Parlez doucement et sentez l’ABSENCE de tension dans la joue. Référez-vous au côté sain.,Talk slowly and feel the absence of tension in the cheek. Refer to the healthy side,Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l'ASSENZA di movimento vicino all'occhio. Riferisciti all'occhio del lato sano.,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.
53,Faire un rond avec les lèvres et sentir que les lèvres avancent de manière symétrique.,Round your lips and feel them coming togehter in a symetrical way,Expressions faciales,Facial expressions,Groupe musculaire,Muscle group,Tiers médian,Median Third,,,12,4,10,Haz un círculo con los labios y siente que los labios avanzan de manera simétrica.,Fai un cerchio con le labbra e senti che le labbra avanzano in modo simmetrico.,"Macht einen Kreis mit den Lippen und spürt, dass die Lippen symmetrisch vorwärts gehen."
54,Souriez en pensant à quelque chose de drôle et sentez l'absence de contractions autour de l'oeil (référez à l'oeil sain).,Smile while thinking of something funny and feel the absence of contractions around the eye (refer to the healthy eye).,Contrôle des syncinésies ,Control of synkinesis,Par activité fonctionnelle,By functional activity,Émotions,Emotions,,,12,4,10,Sonríe pensando en algo divertido y siente la ausencia de contracciones alrededor del ojo (refiérete al ojo sano).,Sorridi pensando a qualcosa di divertente e senti l'assenza di contrazioni attorno all'occhio (riferisciti all'occhio sano).,"Lächelt, während ihr an etwas Lustiges denkt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf das gesunde Auge)."
54,Souriez en pensant à quelque chose de drôle et sentez l'absence de contractions autour de l'oeil (référez à l'oeil sain).,Smile while thinking of something funny and feel the absence of contractions around the eye (refer to the healthy eye).,Contrôle des syncinésies ,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de l'oeil,Eye synkinesis,,,12,4,10,Sonríe pensando en algo divertido y siente la ausencia de contracciones alrededor del ojo (refiérete al ojo sano).,Sorridi pensando a qualcosa di divertente e senti l'assenza di contrazioni attorno all'occhio (riferisciti all'occhio sano).,"Lächelt, während ihr an etwas Lustiges denkt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf das gesunde Auge)."
55,Faîtes un bec en pensant à quelqu'un que vous aimez et sentez l'absence de contractions autour de l'oeil (référez au côté sain).,Make a kissy face while thinking of someone you love and feel the absence of contractions around the eye (refer to the healthy side).,Contrôle des syncinésies ,Control of synkinesis,Par activité fonctionnelle,By functional activity,Émotions,Emotions,,,12,4,10,Haz un beso pensando en alguien que amas y siente la ausencia de contracciones alrededor del ojo (refiérete al lado sano).,Fai un bacio pensando a qualcuno che ami e senti l'assenza di contrazioni attorno all'occhio (riferisciti al lato sano).,"Gebt einen Kuss, während ihr an jemanden denkt, den ihr liebt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf die gesunde Seite)."
55,Faîtes un bec en pensant à quelqu'un que vous aimez et sentez l'absence de contractions autour de l'oeil (référez au côté sain).,Make a kissy face while thinking of someone you love and feel the absence of contractions around the eye (refer to the healthy side).,Contrôle des syncinésies ,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de l'oeil,Eye synkinesis,,,12,4,10,Haz un beso pensando en alguien que amas y siente la ausencia de contracciones alrededor del ojo (refiérete al lado sano).,Fai un bacio pensando a qualcuno che ami e senti l'assenza di contrazioni attorno all'occhio (riferisciti al lato sano).,"Gebt einen Kuss, während ihr an jemanden denkt, den ihr liebt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf die gesunde Seite)."
56,Alternez les voyelles a-o. Concentrez-vous sur la symétrie du visage.,Alternate the vowels a-o. Focus on the symmetry of the face.,Articulation,Articulation,Phonèmes,Phonemes,,,,,12,4,10,Alterna las vocales a-o. Concéntrate en la simetría de la cara.,Alterna le vocali a-o. Concentrati sulla simmetria del viso.,Wechselt zwischen den Vokalen a-o. Konzentriert euch auf die Symmetrie des Gesichts.
56,Alternez les voyelles a-o. Concentrez-vous sur la symétrie du visage.,Alternate the vowels a-o. Focus on the symmetry of the face.,AVC,CVA,Articulation,Articulation,Phonèmes,Phonemes,,,12,4,10,Alterna las vocales a-o. Concéntrate en la simetría de la cara.,Alterna le vocali a-o. Concentrati sulla simmetria del viso.,Wechselt zwischen den Vokalen a-o. Konzentriert euch auf die Symmetrie des Gesichts.
57,Alternez les voyelles i-u. Concentrez-vous sur la symétrie du visage.,Alternate the vowels i-u. Focus on the symmetry of the face.,Articulation,Articulation,Phonèmes,Phonemes,,,,,12,4,10,Alterna las vocales i-u. Concéntrate en la simetría de la cara.,Alterna le vocali i-u. Concentrati sulla simmetria del viso.,Wechselt zwischen den Vokalen i-u. Konzentriert euch auf die Symmetrie des Gesichts.
57,Alternez les voyelles i-u. Concentrez-vous sur la symétrie du visage.,Alternate the vowels i-u. Focus on the symmetry of the face.,AVC,CVA,Articulation,Articulation,Phonèmes,Phonemes,,,12,4,10,Alterna las vocales i-u. Concéntrate en la simetría de la cara.,Alterna le vocali i-u. Concentrati sulla simmetria del viso.,Wechselt zwischen den Vokalen i-u. Konzentriert euch auf die Symmetrie des Gesichts.
58,Faites une série de /papapa/ en pressant fermement les lèvres l'une contre l'autre. Pensez-bien à faire exploser les lèvres.,Make a series of /papapa/ while pressing your lips firmly together. Be sure to pop your lips.,AVC,CVA,Articulation,Articulation,Phonèmes,Phonemes,,,12,4,10,Haz una serie de /papapa/ presionando firmemente los labios uno contra el otro. Asegúrate de hacer estallar los labios.,Fai una serie di /papapa/ premendo fermamente le labbra l'una contro l'altra. Ricorda di far esplodere le labbra.,"Macht eine Serie von /papapa/, indem ihr die Lippen fest aufeinander drückt. Denkt daran, die Lippen explodieren zu lassen."
59,"Prononcez le mot ""oui"" à répétition en vous concentrant sur la symétrie du visage. Portez attention aux micro-mouvements et aux micro-sensations.",Repeat the word 'yes' while focusing on the symmetry of your face. Pay attention to the micro-movements and micro-sensations.,AVC,CVA,Articulation,Articulation,Mots,Words,,,12,4,10,"Pronuncia el sonido ""sí"" repetidamente concentrándote en la simetría de la cara. Presta atención a los micro-movimientos y micro-sensaciones.","Pronuncia il suono ""sì"" ripetutamente concentrandoti sulla simmetria del viso. Fai attenzione ai micro-movimenti e alle micro-sensazioni.","Spricht den Laut ""ja"" wiederholt aus und konzentriert euch auf die Symmetrie des Gesichts. Achtet auf Mikrobewegungen und Mikrosensationen."
59,"Prononcez le mot ""non"" à répétition en vous concentrant sur la symétrie du visage. Portez attention aux micro-mouvements et aux micro-sensations.",Repeat the word 'no' while focusing on the symmetry of your face. Pay attention to the micro-movements and micro-sensations.,AVC,CVA,Articulation,Articulation,Mots,Words,,,12,4,10,"Pronuncia el sonido ""sí"" repetidamente concentrándote en la simetría de la cara. Presta atención a los micro-movimientos y micro-sensaciones.","Pronuncia il suono ""sì"" ripetutamente concentrandoti sulla simmetria del viso. Fai attenzione ai micro-movimenti e alle micro-sensazioni.","Spricht den Laut ""ja"" wiederholt aus und konzentriert euch auf die Symmetrie des Gesichts. Achtet auf Mikrobewegungen und Mikrosensationen."
61,Alternez les voyelles o-i en vous concentrant sur la symétrie du visage.,Alternate the vowels o-i while focusing on the symmetry of the face.,Articulation,Articulation,Phonèmes,Phonemes,,,,,12,4,10,Alterna las vocales o-i concentrándote en la simetría de la cara.,Alterna le vocali o-i concentrandoti sulla simmetria del viso.,Wechselt zwischen den Vokalen o-i und konzentriert euch auf die Symmetrie des Gesichts.
61,Alternez les voyelles o-i en vous concentrant sur la symétrie du visage.,Alternate the vowels o-i while focusing on the symmetry of the face.,AVC,CVA,Articulation,Articulation,Phonèmes,Phonemes,,,12,4,10,Alterna las vocales o-i concentrándote en la simetría de la cara.,Alterna le vocali o-i concentrandoti sulla simmetria del viso.,Wechselt zwischen den Vokalen o-i und konzentriert euch auf die Symmetrie des Gesichts.
87,Levez doucement le front et sentez l'absence d'activité musculaire dans la joue (référez au côté sain).,Gently raise your forehead and feel the absence of muscle activity in the cheek (refer to the healthy side).,Contrôle des syncinésies,Control of synkinesis,Par groupe synkinétique,By synkinetic group,Syncinésies de la joue,Cheek synkinesis,,,12,4,10,Levanta suavemente la frente y siente la ausencia de actividad muscular en la mejilla (refiérete al lado sano).,Sollevati delicatamente la fronte e senti l'assenza di attività muscolare nella guancia (riferisciti al lato sano).,Hebt vorsichtig die Stirn und spürt die Abwesenheit von Muskelaktivität in der Wange (bezieht euch auf die gesunde Seite).
88,Souriez lentement en ressentant 2 fils qui se contractent dans les joues et l'absence de mouvement partout ailleurs.,Smile slowly while feeling two threads contracting in your cheeks and the absence of movement everywhere else.,Contrôle des syncinésies ,Control of synkinesis,Par activité fonctionnelle,By functional activity,Émotions,Emotions,,,12,4,10,Sonríe lentamente sintiendo dos hilos que se contraen en las mejillas y la ausencia de movimiento en todas partes.,Sorridi lentamente sentendo due fili che si contraggono nelle guance e l'assenza di movimento altrove.,"Lächelt langsam, während ihr zwei Fäden spürt, die sich in den Wangen zusammenziehen, und die Abwesenheit von Bewegung überall sonst."
89,"Répétez doucement les sons pa-po-pu-pi en focalisant sur le contact des lèvres ensemble, et l'absence de mouvement partout ailleurs.","Gently repeat the sounds pa-po-pu-pi, focusing on the contact of the lips together and the absence of movement everywhere else.",Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Repite suavemente los sonidos pa-po-pu-pi enfocándote en el contacto de los labios juntos y la ausencia de movimiento en todas partes.,Ripeti dolcemente i suoni pa-po-pu-pi concentrandoti sul contatto delle labbra insieme e sull'assenza di movimento altrove.,"Wiederholt sanft die Laute pa-po-pu-pi, während ihr euch auf den Kontakt der Lippen konzentriert und die Abwesenheit von Bewegung überall sonst."
90,"Répétez doucement les sons bi-bo-bu-ba en focalisant sur le contact des lèvres ensemble, et l'absence de mouvement partout ailleurs.","Gently repeat the sounds bi-bo-bu-ba, focusing on the contact of the lips together and the absence of movement everywhere else.",Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Repite suavemente los sonidos bi-bo-bu-ba enfocándote en el contacto de los labios juntos y la ausencia de movimiento en todas partes.,Ripeti dolcemente i suoni bi-bo-bu-ba concentrandoti sul contatto delle labbra insieme e sull'assenza di movimento altrove.,"Wiederholt sanft die Laute bi-bo-bu-ba, während ihr euch auf den Kontakt der Lippen konzentriert und die Abwesenheit von Bewegung überall sonst."
91,"Répétez doucement les sons fo-fi-fa-fu-fe en focalisant sur le contact de la lèvre et des dents, et l'absence de mouvement partout ailleurs.","Gently repeat the sounds fo-fi-fa-fu-fe, focusing on the contact between the lip and the teeth, and the absence of movement everywhere else.",Contrôle des syncinésies,Control of synkinesis,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Repite suavemente los sonidos fo-fi-fa-fu-fe enfocándote en el contacto del labio y los dientes y la ausencia de movimiento en todas partes.,Ripeti dolcemente i suoni fo-fi-fa-fu-fe concentrandoti sul contatto tra labbra e denti e sull'assenza di movimento altrove.,"Wiederholt sanft die Laute fo-fi-fa-fu-fe, während ihr euch auf den Kontakt zwischen Lippe und Zähnen konzentriert und die Abwesenheit von Bewegung überall sonst."
99,"Levez les sourcils doucement et tenez le mouvement avec votre doigt. En même temps, serrez légèrement les dents.","Raise your eyebrows gently and hold the movement with your finger. At the same time, lightly clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers supérieur,Superior Third,Actif assisté,Actived-assisted,12,4,10,"Levanta las cejas suavemente y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta ligeramente los dientes.","Sollevati delicatamente le sopracciglia e tieni il movimento con il dito. Allo stesso tempo, serra leggermente i denti.",Hebt sanft die Augenbrauen und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
99,"Levez les sourcils doucement. En même temps, serrez légèrement les dents.","Raise your eyebrows gently. At the same time, lightly clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers supérieur,Superior Third,Actif,Active,12,4,10,"Levanta las cejas suavemente y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta ligeramente los dientes.","Sollevati delicatamente le sopracciglia e tieni il movimento con il dito. Allo stesso tempo, serra leggermente i denti.",Hebt sanft die Augenbrauen und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
100,"Froncez les sourcils doucement. Accompagnez le mouvement avec votre doigt. En même temps, serrez légèrement les dents.","Frown gently. Accompany the movement with your finger. At the same time, lightly clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers supérieur,Superior Third,Actif assisté,Actived-assisted,12,4,10,"Frunce las cejas suavemente. Acompaña el movimiento con tu dedo. Al mismo tiempo, aprieta ligeramente los dientes.","Frunza dolcemente le sopracciglia. Accompagna il movimento con il dito. Allo stesso tempo, serra leggermente i denti.",Runzelt sanft die Stirn. Begleitet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
100,"Froncez les sourcils doucement. En même temps, serrez légèrement les dents.","Frown gently. At the same time, lightly clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers supérieur,Superior Third,Actif,Active,12,4,10,"Frunce las cejas suavemente. Acompaña el movimiento con tu dedo. Al mismo tiempo, aprieta ligeramente los dientes.","Frunza dolcemente le sopracciglia. Accompagna il movimento con il dito. Allo stesso tempo, serra leggermente i denti.",Runzelt sanft die Stirn. Begleitet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
101,"Grognez légèrement en levant les narines. Accompagnez le mouvement avec votre doigt. En même temps, serrez doucement les dents.","Grunt lightly while raising your nostrils. Accompany the movement with your finger. At the same time, gently clench your teeth",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif assisté,Actived-assisted,12,4,10,"Gruñir ligeramente levantando las narinas. Acompaña el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Ringhia leggermente alzando le narici. Accompagna il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.","Knurrt leicht, während ihr die Nasenlöcher hebt. Begleitet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen."
101,"Grognez légèrement en levant les narines.  En même temps, serrez doucement les dents.","Grunt lightly while raising your nostrils. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif,Active,12,4,10,"Gruñir ligeramente levantando las narinas. Acompaña el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Ringhia leggermente alzando le narici. Accompagna il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.","Knurrt leicht, während ihr die Nasenlöcher hebt. Begleitet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen."
102,"Souriez bouche ouverte et tenez le mouvement avec votre doigt. En même temps, serrez doucement les dents.","Smile with your mouth open and hold the movement with your finger. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif assisté,Actived-assisted,12,4,10,"Sonríe con la boca abierta y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Sorridi a bocca aperta e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Lächelt mit offenem Mund und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
102,"Souriez bouche fermée et tenez le mouvement avec votre doigt. En même temps, serrez doucement les dents.","Smile with your mouth closed and hold the movement with your finger. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif assisté,Actived-assisted,12,4,10,"Sonríe con la boca abierta y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Sorridi a bocca aperta e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Lächelt mit offenem Mund und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
102,"Souriez bouche ouverte. En même temps, serrez doucement les dents.","Smile with your mouth open. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif,Active,12,4,10,"Sonríe con la boca abierta y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Sorridi a bocca aperta e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Lächelt mit offenem Mund und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
102,"Souriez bouche fermée. En même temps, serrez doucement les dents.","Smile with your mouth closed. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif,Active,12,4,10,"Sonríe con la boca abierta y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Sorridi a bocca aperta e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Lächelt mit offenem Mund und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
103,"Faites un bec et tenez le mouvement avec votre doigt. En même temps, serrez doucement les dents.","Pucker your lips and hold the movement with your finger. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif assisté,Actived-assisted,12,4,10,"Haz un beso y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Fai un bacio e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Macht einen Kuss und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
103,"Faites une moue et tenez le mouvement avec votre doigt. En même temps, serrez doucement les dents.","Pout and hold the movement with your finger. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers inférieur,Inferior Third,Actif assisté,Actived-assisted,12,4,10,"Haz un beso y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Fai un bacio e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Macht einen Kuss und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
103,"Faites un bec.En même temps, serrez doucement les dents.","Pucker your lips as if making a kiss. At the same time, gently clench your teeth",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers médian ,Median Third,Actif,Active,12,4,10,"Haz un beso y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Fai un bacio e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Macht einen Kuss und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
103,"Faites une moue. En même temps, serrez doucement les dents.","Make a pout with your lips. At the same time, gently clench your teeth.",Péri-opératoire,Perioperative.,Greffe 5e nerf ou MAT,5th nerve graft or MAT,Tiers inférieur,Inferior Third,Actif,Active,12,4,10,"Haz un beso y mantén el movimiento con tu dedo. Al mismo tiempo, aprieta suavemente los dientes.","Fai un bacio e tieni il movimento con il dito. Allo stesso tempo, serra dolcemente i denti.",Macht einen Kuss und haltet die Bewegung mit dem Finger. Gleichzeitig beißt leicht die Zähne zusammen.
104,Parlez lentement en contractant doucement la joue opérée lors des sons i et é.,"Speak slowly while gently contracting the operated cheek during the sounds ""ee"" and ""ay.""",Péri-opératoire,Perioperative.,Par activité fonctionnelle,By functional activity,Parole,Speech,,,12,4,10,Habla lentamente contrayendo suavemente la mejilla operada al pronunciar los sonidos i y é.,Parla lentamente contrando delicatamente la guancia operata durante i suoni i e e.,"Sprecht langsam und zieht die operierte Wange sanft zusammen, während ihr die Laute i und e macht."
133,Souriez doucement en sentant deux fils qui tirent vos joues,Smile gently while feeling two strings pulling at your cheeks,Expressions faciales,Facial expressions,Groupe musculaire + émotions,Muscle group + emotions,Tiers médian ,Inferior Third and Happy,Joue et heureux(se),Cheek + happy,12,4,10,Sonríe suavemente sintiendo dos hilos que tiran de tus mejillas.,Sorridi dolcemente sentendo due fili che tirano le tue guance.,"Lächelt sanft, während ihr zwei Fäden spürt, die eure Wangen ziehen."
155,Faites une baboune en abaissant les coins de la bouche et en retroussant la lèvre inférieure.,Pout by lowering the corners of your mouth and curling your lower lip,Expressions faciales,Facial expressions,Groupe musculaire + émotions,Muscle group + emotions,Tiers inférieur,Median Third,Bouche et dégouté,Mouth + disguted,12,4,10,Haz un puchero bajando las comisuras de la boca y levantando el labio inferior.,Fai una faccia da disapprovazione abbassando gli angoli della bocca e arricciando il labbro inferiore.,"Macht eine Schmollmund, indem ihr die Mundwinkel nach unten zieht und die Unterlippe einrollt."
157,"«Un fruit cru, un fruit cuit ou un fruit frit ? »","""Fresh fruit, fried fruit, or frozen fruit?""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,"¿Frutas fritas, frutas frescas o frutas frías ?","Frutti fritti, frutti freschi o frutti freddi","Frische Früchte, frittierte Früchte oder gekochte Früchte?"
158,« Angèle et Gilles en gilet gèlent. »,"""The journalist Jill measures jelly""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,Il n'y a pas le son /j/ en espagnol.,Giulio gira il gelido giglio.,"„Journalistin Jill genießt lilien"""
159,"« Papier, panier, piano. »","""Penny, panda, piano""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,"Repita tres veces: « Papel, canasta, piano. »","Ripeta tre volte: « Carta, cesta, pianoforte. »","„Wiederholen Sie dreimal: „Papier, Korb, Klavier.“"
160,« Cinq chiens chassent six chats. »,"""Six slippery snails slid slowly seaward""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Cinco chicos chocan con seis sillas. »,« Cinque cinghiali cercano sei cetrioli. »,"„Sieben Schlangen schlängeln schnell."""
161,« Douze douches douces. »,"""Danny the dandy dog danced dangerously""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Doce dulces duchas. »,« Dodici docce dolci. »,"„Dutzend deutliche Duschen."""
162,« La charmante Macha mâche en marchant. »,"""Charming Charlie chews while chasing.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Chato charla y marcha al charco. »,« Carla cerca e marcia con calma. »,Charlotte schaut und marschiert stark.
163,« Un plat plein de pâtes plates. »,"""Pat plants plastic plates at the plaza.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Paco planta plátanos para Paloma »,« Paolo placa piante per Palma »,"„Paul plantet Platten auf dem Platz."""
164,« Une meule moud mille moules molles.» ,"""Molly molds many mushy mussels""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Mil molineros muelen mejillones mojados.»,"« Mille molle macinano molti molluschi.»
",„Müller mahlt milde Muscheln.“
165,"« Tonton Théo, ton thé a-t-il ôté ta toux? »","""Tom took Tony's tea to tame his tough throat.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Tío Tito toma té tibio todo el tiempo. »,« Tutto Tommaso tocca tè toscano e toglie la tosse. »,„Tante Tina trinkt täglich Tee trotz trockener Tage.“
166,« Kiki quête et Coco caquette. »,"""Kenny kicks and Coco cackles.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Kiko quiere que Kika cante. »,« Kiki chiede e Koko chiacchiera. »,„Klaus kauft kleine Katzen und Kurt kräht.“
167,"« Lady l’a lu, Lola le loue, Lulu le lit et Lola l’a. »","""Lily likes lemon lollies, Lou lifts lit lamps.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,"« Lola limpia lo lindo, Luis lee la luna. »","« Luca lava le lire, Lino lede la luna. »","„Lena liebt lustige Leute, Lars liest laut los.“"
168,« Que lit Lili sous ces lilas-là? »,"""Lili lifts Lolly while Lola rests in her villa.""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,"« Lili limpia lili, Lola lanza la pala.»","« Lili lancia Lolli, Lola lascia la villa. »","„Lili liebt Lilly, Lola legt la la.“"
169,« Croque quatre crevettes crues et quatre crabes creux. »,"""Crack crunchy cooked crabs and crispy crackers""",AVC,CVA,Articulation,Articulation,Phrases,Sentences,,,12,4,10,« Cuatro cangrejos crujen y cuatro camarones crudos. »,« Crocca quattro crostacei crudi e quattro calamari croccanti. »,"„Karl knackt krumme Krabben, knusprige Krebse.“"
