Exercise ID,Movement Duration,Repetition,Pause,Description FR,Description EN,Description DE,Description ES,Description IT,Description PT,Category FR,Category Sub Level 1 FR,Category Sub Level 2 FR,Category Sub Level 3 FR,Category EN,Category Sub Level 1 EN,Category Sub Level 2 EN,Category Sub Level 3 EN,Category DE,Category Sub Level 1 DE,Category Sub Level 2 DE,Category Sub Level 3 DE,Category ES,Category Sub Level 1 ES,Category Sub Level 2 ES,Category Sub Level 3 ES,Category IT,Category Sub Level 1 IT,Category Sub Level 2 IT,Category Sub Level 3 IT,Category PT,Category Sub Level 1 PT,Category Sub Level 2 PT,Category Sub Level 3 PT
37,12,4,10,Levez les sourcils légèrement et pensez à quelque chose de surprenant Tenez le mouvement à l’aide doigt.,Slowly rise the eyebrows and think about something surprising. Hold the movement with the finger.,Denkt an etwas Überraschendes und hebt leicht die Augenbrauen. Haltet die Bewegung mit dem Finger.,Piensa en algo sorprendente y levanta las cejas ligeramente. Mantén el movimiento con el dedo.,Pensa a qualcosa di sorprendente e solleva leggermente le sopracciglia. Tieni il movimento con il dito.,Levante as sobrancelhas ligeiramente e pense em algo surpreendente. Mantenha o movimento com o dedo.,Mobilisation assistée,Actif assisté,Tiers supérieur,,Assisted mobilization,Active Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Oberstufe,,Movilización asistida,Activo asistido,Nivel superior,,Mobilitazione assistita,Attivo assistito,Terzo superiore,,Mobilização assistida.,Ativo assistido,Topo tier,
38,12,4,10,Froncez les sourcils légèrement et pensez à quelque chose de fâchant. Tenez le mouvement à l’aide doigt.,"Slowly frown the eyebrows, and think about something that makes you feel angry. Hold the movement with the finger.",Denkt an etwas Ärgerliches und runzelt leicht die Stirn. Haltet die Bewegung mit dem Finger.,Piensa en algo que te enfada y frunce ligeramente las cejas. Mantén el movimiento con el dedo.,Pensa a qualcosa che ti fa arrabbiare e frunza leggermente le sopracciglia. Tieni il movimento con il dito.,Franza levemente as sobrancelhas e pense em algo que te chateia. Mantém o movimento com o dedo.,Mobilisation assistée,Actif assisté,Tiers supérieur,,Assisted mobilization,Active Assisted,Superior Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Oberstufe,,Movilización asistida,Activo asistido,Nivel superior,,Mobilitazione assistita,Attivo assistito,Terzo superiore,,Mobilização assistida.,Ativo assistido,Topo tier,
39,12,4,10,Levez doucement les narines (seulement les narines) et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.,Gently lift your nostrils (only the nostrils) and think about something disgusting you. Hold the movement with the finger.,Denkt an etwas Ekliges und hebt vorsichtig die Nasenlöcher. Nur die Nasenlöcher. Haltet die Bewegung mit dem Finger.,Piensa en algo asqueroso y levanta suavemente las fosas nasales. Solo las fosas nasales. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e solleva delicatamente le narici. Solo le narici. Tieni il movimento con il dito.,Levante delicadamente as narinas (apenas as narinas) e pense em algo nojento. Mantenha o movimento com o dedo.,Mobilisation assistée,Actif assisté,Tiers médian,,Assisted mobilization,Active Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Mitteltier,,Movilización asistida,Activo asistido,Tercer cuartil,,Mobilitazione assistita,Attivo assistito,Terza mediana,,Mobilização assistida.,Ativo assistido,Terceiro médio,
40,12,4,10,Souriez bouche fermée et pensez à quelque chose de joyeux. Tenez le mouvement à l’aide doigt.,Slowly smile with closed mouth and think about something happy. Hold the movement with the finger.,Denkt an etwas Fröhliches und lächelt mit geschlossenem Mund. Haltet die Bewegung mit dem Finger.,Piensa en algo alegre y sonríe con la boca cerrada. Mantén el movimiento con el dedo.,Pensa a qualcosa di gioioso e sorridi con la bocca chiusa. Tieni il movimento con il dito.,Sorria com a boca fechada e pense em algo alegre. Mantenha o movimento com o dedo.,Mobilisation assistée,Actif assisté,Tiers médian,,Assisted mobilization,Active Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Mitteltier,,Movilización asistida,Activo asistido,Tercer cuartil,,Mobilitazione assistita,Attivo assistito,Terza mediana,,Mobilização assistida.,Ativo assistido,Terceiro médio,
41,12,4,10,Souriez bouche ouverte et pensez à quelque chose de joyeux. Tenez le mouvement à l’aide doigt.,Slowly smile with open mouth and think about something happy. Hold the movement with the finger.,Denkt an etwas Fröhliches und lächelt mit offenem Mund. Haltet die Bewegung mit dem Finger.,Piensa en algo alegre y sonríe con la boca abierta. Mantén el movimiento con el dedo.,Pensa a qualcosa di gioioso e sorridi con la bocca aperta. Tieni il movimento con il dito.,Sorria com a boca aberta e pense em algo alegre. Segure o movimento com o dedo.,Mobilisation assistée,Actif assisté,Tiers médian,,Assisted mobilization,Active Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Mitteltier,,Movilización asistida,Activo asistido,Tercer cuartil,,Mobilitazione assistita,Attivo assistito,Terza mediana,,Mobilização assistida.,Ativo assistido,Terceiro médio,
42,12,4,10,Pensez à quelqu’un que vous aimez et envoyez-lui un baiser. Tenez le mouvement à l’aide doigt.,Think about someone you love and send them a kiss. Hold the movement with the finger.,"Denkt an jemanden, den ihr liebt, und schickt ihm/ihr einen Kuss. Haltet die Bewegung mit dem Finger.",Piensa en alguien que amas y envía un beso. Mantén el movimiento con el dedo.,Pensa a qualcuno che ami e invia un bacio a lui/lei. Tieni il movimento con il dito.,"Pense em alguém que você ama e envie-lhe um beijo. Para isso, faça o movimento com o dedo.",Mobilisation assistée,Actif assisté,Tiers médian,,Assisted mobilization,Active Assisted,Median Third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Mitteltier,,Movilización asistida,Activo asistido,Tercer cuartil,,Mobilitazione assistita,Attivo assistito,Terza mediana,,Mobilização assistida.,Ativo assistido,Terceiro médio,
43,12,4,10,Étirez le coin des lèvres vers le bas et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.,Slowly stretch down the corners of your lips and think about something disgusting. Hold the movement with the finger.,Denkt an etwas Ekliges und zieht die Lippen nach unten. Haltet die Bewegung mit dem Finger.,Piensa en algo asqueroso y estira los labios hacia abajo. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e tira le labbra verso il basso. Tieni il movimento con il dito.,Estique o canto dos lábios para baixo e pense em algo nojento. Mantenha o movimento com os dedos.,Mobilisation assistée,Actif assisté,Tiers inférieur,,Assisted mobilization,Active Assisted,Inferior third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Untere Ebene,,Movilización asistida,Activo asistido,Tercer piso inferior.,,Mobilitazione assistita,Attivo assistito,Terzo inferiore,,Mobilização assistida.,Ativo assistido,Terço inferior,
44,12,4,10,"Étirez le coin des lèvres vers le bas en sentant votre cou s’activer doucement, et pensez à quelque chose de dégoûtant. Tenez le mouvement à l’aide doigt.","Slowly stretch down the corners of your lips, feeling a gentle activation in the neck. Hold the movement with the finger.","Denkt an etwas Ekliges und zieht die Lippen nach unten, während ihr euren Hals spürt. Haltet die Bewegung mit dem Finger.",Piensa en algo asqueroso y estira los labios hacia abajo sintiendo tu cuello. Mantén el movimiento con el dedo.,Pensa a qualcosa di disgustoso e tira le labbra verso il basso sentendo il tuo collo. Tieni il movimento con il dito.,"Estique o canto dos lábios para baixo, sentindo o pescoço se ativar suavemente, e pense em algo nojento. Segure o movimento usando o dedo.",Mobilisation assistée,Actif assisté,Tiers inférieur,,Assisted mobilization,Active Assisted,Inferior third,,Unterstützte Mobilisierung,Unterstützende Vermögenswerte,Untere Ebene,,Movilización asistida,Activo asistido,Tercer piso inferior.,,Mobilitazione assistita,Attivo assistito,Terzo inferiore,,Mobilização assistida.,Ativo assistido,Terço inferior,
45,12,4,10,Parlez en utilisant des sons précis (sans forcer) et équilibrez l’activité musculaire entre les deux côtés de la bouche.,Talk using precise sounds (without forcing) and balance muscular activity between both sides of the mouth.,Sprecht mit deutlich betonten Lauten (ohne zu forcieren) und balanciert die Muskelaktivität auf beiden Seiten des Mundes.,Habla utilizando sonidos bien marcados (sin forzar) y equilibra la actividad muscular entre ambos lados de la boca.,Parla usando suoni ben marcati (senza forzare) e bilancia l’attività muscolare tra i due lati della bocca.,Fale usando sons precisos (sem forçar) e equilibre a atividade muscular entre os dois lados da boca.,Articulation,Fonctionnel,,,Articulation,Functional,,,Gelenkung,Funktional,,,Articulación,Funcional,,,Articolazione,Funzionale,,,Articulação,Funcional,,
45,12,4,10,Parlez en utilisant des sons précis (sans forcer) et équilibrez l’activité musculaire entre les deux côtés de la bouche.,Talk using precise sounds (without forcing) and balance muscular activity between both sides of the mouth.,Sprecht mit deutlich betonten Lauten (ohne zu forcieren) und balanciert die Muskelaktivität auf beiden Seiten des Mundes.,Habla utilizando sonidos bien marcados (sin forzar) y equilibra la actividad muscular entre ambos lados de la boca.,Parla usando suoni ben marcati (senza forzare) e bilancia l’attività muscolare tra i due lati della bocca.,Fale usando sons precisos (sem forçar) e equilibre a atividade muscular entre os dois lados da boca.,AVC,Articulation,Fonctionnel,,CVA,Articulation,Functional,,Schlaganfall,Gelenkung,Funktional,,ACV (Accidente Cerebrovascular),Articulación,Funcional,,ICTUS,Articolazione,Funzionale,,AVC (Acidente Vascular Cerebral),Articulação,Funcional,
46,12,4,10,Mastiquez doucement en sentant l’activité musculaire précisément autour de la bouche.,Chew slowly and feel muscular activity precisely around the mouth.,Kaut sanft und spürt die Muskelaktivität genau um den Mund herum.,Mastica suavemente sintiendo la actividad muscular precisamente alrededor de la boca.,Mastica delicatamente sentendo l’attività muscolare precisamente intorno alla bocca.,"Mastigue lentamente, sentindo a atividade muscular precisamente ao redor da boca.",Déglutition,Fonctionnel,,,Swallowing,Functional,,,Schlucken,Funktional,,,Deglución,Funcional,,,Deglutizione,Funzionale,,,Deglutição,Funcional,,
46,12,4,10,Mastiquez doucement en sentant l’activité musculaire précisément autour de la bouche.,Chew slowly and feel muscular activity precisely around the mouth.,Kaut sanft und spürt die Muskelaktivität genau um den Mund herum.,Mastica suavemente sintiendo la actividad muscular precisamente alrededor de la boca.,Mastica delicatamente sentendo l’attività muscolare precisamente intorno alla bocca.,"Mastigue lentamente, sentindo a atividade muscular precisamente ao redor da boca.",Contrôle des syncinésies,Par activité fonctionnelle,Déglutition,,Control of synkinesis,By functional activity,Swallowing,,Kontrolle von Synkinesien,Nach funktionaler Aktivität,Schlucken,,Control de sinquinesias,Por actividad funcional.,Deglución,,Controllo delle sincinesie,Per attività funzionale,Deglutizione,,Controlo das sinergias.,Por atividade funcional,Deglutição,
47,12,4,10,Envoyez un bec léger et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.,Send a kiss and feel the ABSENCE of movement around the eye. Refer to the healthy eye.,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Envie um beijo leve e sinta a AUSÊNCIA de movimento perto do olho. Refira-se ao olho do lado saudável.,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de l’oeil,,Control of synkinesis,By synkinetic group,Eye synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Augenbewegungssynchronisation,,Control de sinquinesias,Por grupo sincinético.,Sincinesias del ojo.,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie dell'occhio,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias oculares,
47,12,4,10,Envoyez un bec léger et sentez l’ABSENCE de mouvement dans le sourcil. Référez-vous au côté sain.,Send a kiss and feel the ABSENCE of movement in the eyebrow. Refer to the healthy side.,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Envie um beijo leve e sinta a AUSÊNCIA de movimento na sobrancelha. Refira-se ao lado saudável.,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies du sourcil,,Control of synkinesis,By synkinetic group,Eyebrow synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Brauen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de cejas,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie delle sopracciglia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da sobrancelha,
47,12,4,10,Envoyez un bec léger et sentez l’ABSENCE d’étirement dans la joue. Référez-vous au côté sain.,Send a kiss and feel the ABSENCE of stretching in the cheek. Refer to the healthy side,Sendet einen leichten Kuss und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Envía un beso ligero y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Invia un bacio leggero e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Envie um beijo leve e sinta a AUSÊNCIA de tensão na bochecha. Refira-se ao lado saudável.,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de la joue,,Control of synkinesis,By synkinetic group,Cheek synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Wangen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de la mejilla,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinclinie della guancia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da bochecha,
48,12,4,10,Fermez doucement les yeux et sentez l’ABSENCE de mouvement dans la joue. Référez-vous à la joue du côté sain.,Gently close the eyes and feel the ABSENCE of movement around the cheek. Refer to the healthy cheek.,Schließt sanft die Augen und spürt die ABWESENHEIT von Bewegung in der Wange. Bezieht euch auf die Wange der gesunden Seite.,Cierra suavemente los ojos y siente la AUSENCIA de movimiento en la mejilla. Refírete a la mejilla del lado sano.,Chiudi delicatamente gli occhi e senti l’ASSENZA di movimento nella guancia. Riferisciti alla guancia del lato sano.,Feche suavemente os olhos e sinta a AUSÊNCIA de movimento na bochecha. Refira-se à bochecha do lado são.,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de la joue,,Control of synkinesis,By synkinetic group,Cheek synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Wangen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de la mejilla,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinclinie della guancia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da bochecha,
49,12,4,10,Fermez doucement les yeux et sentez l’ABSENCE de mouvement dans le cou Référez-vous au cou du côté sain.,Gently close the eyes and feel the ABSENCE of movement around the neck. Refer to the healthy neck.,Schließt sanft die Augen und spürt die ABWESENHEIT von Bewegung im Hals. Bezieht euch auf den Hals der gesunden Seite.,Cierra suavemente los ojos y siente la AUSENCIA de movimiento en el cuello. Refírete al cuello del lado sano.,Chiudi delicatamente gli occhi e senti l’ASSENZA di movimento nel collo. Riferisciti al collo del lato sano.,Feche os olhos suavemente e sinta a AUSÊNCIA de movimento no pescoço. Refira-se ao pescoço do lado saudável.,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de la joue,,Control of synkinesis,By synkinetic group,Cheek synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Wangen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de la mejilla,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinclinie della guancia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da bochecha,
50,12,4,10,"Faites un ""O"" et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.","Pronounce a ""O"" and feel the ABSENCE of movement around the eye. Refer to the healthy eye.","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""O"" e sinta a AUSÊNCIA de movimento próximo do olho. Refira-se ao olho do lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de l’oeil,,Control of synkinesis,By synkinetic group,Eye synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Augenbewegungssynchronisation,,Control de sinquinesias,Por grupo sincinético.,Sincinesias del ojo.,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie dell'occhio,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias oculares,
50,12,4,10,"Faites un ""O"" et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.","Pronounce a ""O"" and feel the ABSENCE of movement  in the eyebrow. Refer to the healthy side.","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""O"" e sinta a AUSÊNCIA de movimento na sobrancelha. Refira-se ao lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies du sourcil,,Control of synkinesis,By synkinetic group,Eyebrow synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Brauen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de cejas,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie delle sopracciglia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da sobrancelha,
50,12,4,10,"Faites un ""O"" et sentez l’ABSENCE d’étirement dans la joue. Référez-vous au côté sain.","Pronounce a ""O"" and feel the ABSENCE of stretching in the cheek. Refer to the healthy side","Macht ein ""O"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz una ""O"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai una ""O"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""O"" e sinta a AUSÊNCIA de alongamento na bochecha. Refira-se ao lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de la joue,,Control of synkinesis,By synkinetic group,Cheek synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Wangen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de la mejilla,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinclinie della guancia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da bochecha,
51,12,4,10,"Faites un ""CHH"" et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of movement around the eye. Refer to the healthy eye.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""CHH"" e sinta a AUSÊNCIA de movimento perto do olho. Refira-se ao olho do lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de l’oeil,,Control of synkinesis,By synkinetic group,Eye synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Augenbewegungssynchronisation,,Control de sinquinesias,Por grupo sincinético.,Sincinesias del ojo.,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie dell'occhio,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias oculares,
51,12,4,10,"Faites un ""CHH"" et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of movement  in the eyebrow. Refer to the healthy side.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""CHH"" e sinta a AUSÊNCIA de movimento na sobrancelha. Refira-se ao lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies du sourcil,,Control of synkinesis,By synkinetic group,Eyebrow synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Brauen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de cejas,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie delle sopracciglia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da sobrancelha,
51,12,4,10,"Faites un ""CHH"" et sentez l’ABSENCE d’étirement dans la joue. Référez-vous au côté sain.","Pronounce a ""SSHH"" and feel the ABSENCE of stretching in the cheek. Refer to the healthy side.","Macht ein ""CHH"" und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.","Haz un ""CHH"" y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.","Fai un ""CHH"" e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.","Faça um ""CHH"" e sinta a AUSÊNCIA de alongamento na bochecha. Refira-se ao lado saudável.",Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de la joue,,Control of synkinesis,By synkinetic group,Cheek synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Wangen-Synkinesien,,Control de sinquinesias,Por grupo sincinético.,Sincinesias de la mejilla,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinclinie della guancia,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias da bochecha,
52,12,4,10,Parlez doucement et sentez l’ABSENCE de mouvement près de l’œil. Référez-vous à l’œil du côté sain.,Talk slowly and feel the absence of movement around the eye. Refer to the healthy eye.,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Fale baixo e sinta a AUSÊNCIA de movimento perto do olho. Refira-se ao olho do lado saudável.,Contrôle des syncinésies,Par activité fonctionnelle,Parole,,Control of synkinesis,By functional activity,Speech,,Kontrolle von Synkinesien,Nach funktionaler Aktivität,Wort,,Control de sinquinesias,Por actividad funcional.,Palabra,,Controllo delle sincinesie,Per attività funzionale,Parole ,,Controlo das sinergias.,Por atividade funcional,Palavra,
52,12,4,10,Parlez doucement et sentez l’ABSENCE de mouvement  dans le sourcil. Référez-vous au côté sain.,Talk slowly and feel the absence of movement in the eyebrow. Refer to the healthy side.,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Fale devagar e sinta a AUSÊNCIA de movimento na sobrancelha. Refira-se ao lado saudável.,Contrôle des syncinésies,Par activité fonctionnelle,Parole,,Control of synkinesis,By functional activity,Speech,,Kontrolle von Synkinesien,Nach funktionaler Aktivität,Wort,,Control de sinquinesias,Por actividad funcional.,Palabra,,Controllo delle sincinesie,Per attività funzionale,Parole ,,Controlo das sinergias.,Por atividade funcional,Palavra,
52,12,4,10,Parlez doucement et sentez l’ABSENCE de tension dans la joue. Référez-vous au côté sain.,Talk slowly and feel the absence of tension in the cheek. Refer to the healthy side,Sprecht sanft und spürt die ABWESENHEIT von Bewegung nahe dem Auge. Bezieht euch auf das Auge der gesunden Seite.,Habla suavemente y siente la AUSENCIA de movimiento cerca del ojo. Refírete al ojo del lado sano.,Parla dolcemente e senti l’ASSENZA di movimento vicino all’occhio. Riferisciti all’occhio del lato sano.,Fale devagar e sinta a AUSÊNCIA de tensão na bochecha. Refira-se ao lado saudável.,Contrôle des syncinésies,Par activité fonctionnelle,Parole,,Control of synkinesis,By functional activity,Speech,,Kontrolle von Synkinesien,Nach funktionaler Aktivität,Wort,,Control de sinquinesias,Por actividad funcional.,Palabra,,Controllo delle sincinesie,Per attività funzionale,Parole ,,Controlo das sinergias.,Por atividade funcional,Palavra,
53,12,4,10,Faire un rond avec les lèvres et sentir que les lèvres avancent de manière symétrique.,Round your lips and feel them coming togehter in a symetrical way,"Macht einen Kreis mit den Lippen und spürt, dass die Lippen symmetrisch vorwärts gehen.",Haz un círculo con los labios y siente que los labios avanzan de manera simétrica.,Fai un cerchio con le labbra e senti che le labbra avanzano in modo simmetrico.,Fazer um círculo com os lábios e sentir que os lábios avançam simetricamente.,Expressions faciales,Groupe musculaire,Tiers médian,,Facial expressions,Muscle group,Median Third,,Gesichtsausdrücke,Muskelgruppe,Mitteltier,,Expresiones faciales,Grupo muscular,Tercer cuartil,,Espressioni facciali,Gruppo muscolare,Terza mediana,,Expressões faciais,Grupo muscular,Terceiro médio,
54,12,4,10,Souriez en pensant à quelque chose de drôle et sentez l’absence de contractions autour de l’oeil (référez à l’oeil sain).,Smile while thinking of something funny and feel the absence of contractions around the eye (refer to the healthy eye).,"Lächelt, während ihr an etwas Lustiges denkt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf das gesunde Auge).",Sonríe pensando en algo divertido y siente la ausencia de contracciones alrededor del ojo (refiérete al ojo sano).,Sorridi pensando a qualcosa di divertente e senti l’assenza di contrazioni attorno all’occhio (riferisciti all’occhio sano).,Sorria pensando em algo engraçado e sinta a ausência de contrações ao redor do olho (faça referência ao olho saudável).,Contrôle des syncinésies,Par activité fonctionnelle,Émotions,,Control of synkinesis,By functional activity,Emotions,,Kontrolle von Synkinesien,Nach funktionaler Aktivität,Emotionen,,Control de sinquinesias,Por actividad funcional.,Emociones,,Controllo delle sincinesie,Per attività funzionale,Emozioni,,Controlo das sinergias.,Por atividade funcional,Emoções,
54,12,4,10,Souriez en pensant à quelque chose de drôle et sentez l’absence de contractions autour de l’oeil (référez à l’oeil sain).,Smile while thinking of something funny and feel the absence of contractions around the eye (refer to the healthy eye).,"Lächelt, während ihr an etwas Lustiges denkt, und spürt die Abwesenheit von Kontraktionen um das Auge (bezieht euch auf das gesunde Auge).",Sonríe pensando en algo divertido y siente la ausencia de contracciones alrededor del ojo (refiérete al ojo sano).,Sorridi pensando a qualcosa di divertente e senti l’assenza di contrazioni attorno all’occhio (riferisciti all’occhio sano).,Sorria pensando em algo engraçado e sinta a ausência de contrações ao redor do olho (faça referência ao olho saudável).,Contrôle des syncinésies,Par groupe synkinétique,Syncinésies de l’oeil,,Control of synkinesis,By synkinetic group,Eye synkinesis,,Kontrolle von Synkinesien,Nach synkinetischen Gruppen,Augenbewegungssynchronisation,,Control de sinquinesias,Por grupo sincinético.,Sincinesias del ojo.,,Controllo delle sincinesie,Per gruppo synkinetico.,Sinergie dell'occhio,,Controlo das sinergias.,Por grupo sinérgico.,Sincinesias oculares,
